context,tag
? А вам что же мои стихи не нравятся? ? с любопытством спросил Иван.  ? Ужасно не нравятся.  ? А вы какие читали?,-2
? А ведь мне сейчас перед вами было ужасно весело ? проговорила она ? и в самом деле… что… то есть что собственно случилось непоправимого?,2
? А знаешь ли что ты нынче её ужасно рассердил?,-2
? А может быть вам пора ответ держать Михаил Андреевич ? негромко говорит Петунин из своего угла…  Становится ужасно тихо.  Дым папиросный уносится к потолку.,0
? Ах да ? говорю я едко ? ведь ты же у нас засекреченный товарищ.  Я ужасно расстроен.  Мне очень хотелось пойти с Виктором на стадион а потом в филармонию где будут на концерте все наши ребята.,-2
? Вот что Сергей Сергеевич ? Борис Иванович отводит глаза в сторону ему ужасно неприятно начинать этот разговор но ничего не поделаешь он поднимает голову и спрашивает в упор ? Что там у вас с квартирой происходит?,-2
? Вы знаете ? наконец продолжил он ? мне ужасно надоело выполнять подобного рода поручения.,-1
? Вы ужасно болтливы и непоседливы ? говорила она ? дайте мне дочитать главу…,-1
? Должен вам прямо сказать что вы ужасно фотогигиеничны.,1
? Здесь жуткая жара ? мозги слипаются ходишь все время в мокрой футболке ужасно хочется пить.,0
? И я тебя ужасно рада видеть Пашечка!,2
? Извини за экзальтацию. Просто я ужасно счастлива. Я так рада здесь быть.,2
? Извини что я затащил тебя на репетицию ? сказал Рустам когда они ехали по Кирочной улице в сторону Суворовского проспекта.  ? Это всё ещё ужасно сыро!..  ? Мне понравился Марк ? возразила Соня.,-1
? Комфортно ужасно совершенно как дома ? читай сиди лежи пиши…,2
? Кроме того у меня довольно большие глаза…  ? Ужасно глупый разговор ? сказала Таня.  ? Вот и прекрасно.,-2
? Лиза ужасно нервничала отправив заявку а когда пришел ответ Колесникова что ее отобрали было столько криков!,-1
? Мой друг мне и нездешнее ужасно надоело.,-2
? Наркотик?! ? почему-то эта мысль меня ужасно поразила.,-1
? Не знаю…  ? Вот и я беспокоюсь ужасно.  ? Будь что будет.,-1
? Но вы так переменились так ужасно переменились!,0
? Но справедлив!..  ? Ужасно справедлив!..  ? Чрезвычайно справедлив!..,2
"? Ну знаешь ? сказала Людмила ? ты раньше напиши в физике ""Войну и мир"".  Штрум ужасно смутился.  ? Да-да Людочка ты права зарапортовался ? пробормотал он и невольно с упрёком посмотрел на жену. ? Господи и в такие минуты нужно подчёркивать каждое моё неверное слово.",0
? Ой пойдемте уже рухнем где-нибудь я ужасно голодна.,-1
? Представляю себе как Витя воспримет эту новость ? сказала она. ? Он ужасно нервный теперь всё ему кажется что его посадят.,-1
? Пусть мама сделает как ей хочется ложись ? велел Сане Слава который все-таки проснулся от мамочкиных речей. Вот эти слова мужа резанули ужасно. Что ж получается у них можно в чужую спальню прямо так без стука?,-2
